valence,year,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo
0.35100000000000003,1936,0.978,0.443,0.0778,7.24e-4,2,0.0591,-19.209,0,0.029,145.601
0.526,2020,0.0363,0.8859999999999999,0.672,8.78e-6,1,0.101,-4.394,1,0.188,91.976
0.526,1990,0.607,0.428,0.426,0,7,0.325,-6.632999999999999,1,0.0439,137.583
0.789,1970,0.308,0.609,0.609,0.17,9,0.297,-11.232,1,0.0311,132.13299999999998
0.48,2009,0.191,0.737,0.604,4.64e-4,0,0.223,-5.888,1,0.0239,95.03
0.131,2000,0.535,0.433,0.28800000000000003,1.69e-4,6,0.105,-10.800999999999998,0,0.0296,136.939
0.133,1987,0.0635,0.242,0.911,0.0109,4,0.6609999999999999,-6.381,0,0.084,101.114
0.451,1979,0.561,0.487,0.334,0.00457,1,0.0614,-18.35,1,0.0495,142.887
0.119,1981,0.222,0.617,0.459,0.0415,1,0.285,-9.292,0,0.0368,114.497
0.64,1985,0.012,0.35,0.957,5.07e-5,4,0.0872,-5.443,0,0.0634,189.078
0.473,1993,0.7170000000000001,0.619,0.307,1.82e-6,4,0.107,-12.714,0,0.0331,134.082
0.741,2002,0.116,0.828,0.447,0.013,0,0.166,-10.437,1,0.0317,120.377
0.306,1967,0.743,0.462,0.342,0,7,0.109,-7.18,0,0.0283,106.694
0.107,1994,0.00169,0.379,0.61,0.0362,0,0.175,-9.135,1,0.035,128.224
0.953,1987,0.0103,0.7190000000000001,0.65,4.36e-5,7,0.133,-12.947,0,0.0265,105.141
0.7809999999999999,1926,0.97,0.708,0.234,1.34e-4,5,0.156,-10.281,1,0.243,123.377
0.456,1968,0.8640000000000001,0.54,0.361,1.32e-5,1,0.0898,-10.423,1,0.0362,155.993
0.669,1940,0.975,0.43,0.232,2.11e-5,9,0.102,-14.165,0,0.0377,115.031
0.163,1968,0.757,0.445,0.153,0.8270000000000001,2,0.639,-23.719,1,0.0374,99.675
0.883,1930,0.988,0.631,0.316,0.0798,7,0.0953,-11.133,0,0.0815,124.532
0.229,1973,0.251,0.513,0.396,0.177,7,0.11,-13.061,1,0.0299,140.208
0.58,1982,0.0528,0.597,0.8740000000000001,7.929999999999999e-5,7,0.0575,-6.573,1,0.0665,128.556
0.687,1948,0.994,0.6659999999999999,0.113,1.35e-5,9,0.0979,-17.865,0,0.0357,98.673
0.833,1976,0.0024,0.784,0.41,0.2,1,0.0564,-13.057,1,0.107,145.453
0.0391,1963,0.988,0.265,0.147,0.0148,8,0.433,-20.715,1,0.0451,76.331
